5732	LR10HNA10		DUCTING HOT AIR FDF A	LR10HL11	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5733	LR10HDE10		ESP A SYSTEM	LR10HL11	1.0	S	20	UJRB		0.99																		UNIT10	2021-08-05 14:17:21	\N
5734	LR10HDE101	LR10HDE11AT001	ESP A	LR10HDE10	1.0	S	21	UJRB	supporting	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5735	LR10HDE102	LR10ETG14AN001	FLUIDIZING BLOWER ESP A #10	LR10HDE10	1.0	S	21	UJRB	supporting	0.99	WARNING	STAGE 2	<6	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI	SR 201780		\N	Analisa :\n- Pada spectrum bearing blower inboard dan outboard terdapat fault frequency bearing (BPFO -Ball Pass Frequency of Outer ring dan BPFI -Ball Pass Frequency of Inner ring) yang mengindikasikan adanya kerusakan bearing\n	Rekomendasi :\n1. Lakukan penggantian bearing blower dan lakukan pengecekan pada screw blower apabila ada ketidak sesuaian segera dilakukan penggantian                        \n2. Periksa clearance housing dengan outer bearing dan shaft dengan inner bearing, Lakukan rebushing apabila ditemukan terjadinya over clearance                       \n3. Bersihkan filter udara	Pastikan peralatan redundancy beroperasi normal saat pelaksanaan perbaikan	20210318 : dischedulkan setelah perbaikan Fluidizing 10B (fluidizing 10B sudah selesai perbaikan dengan melakukan swab dari unit 20)\n20210324 :\n1. Dilakukan pembongkaran \n2. Diketahui terdapat gigi dari gear rusak 1 ea dan terdapat aus pada sisi housing bearing\n20210329 : Fluidizing blower dibawa P3 untuk dilakukan repair estimasi selesai pekerjaan 1 bulan\n20210329 : WMATL\n20210723 : Dilakukan penggantian bearing, gear timing, perbaikan cover, penggantian helical gear, penggantian oil seal	20210723 : Running test, abnormal sound sisi inboard blower. Akan dilaporkan dan di inspeksi P3	UNIT10	2021-08-05 14:17:21	\N
5736	LR10HNC10		IDF A SYSTEM	LR10HL11	1.0	S	20	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5737	LR10HNC1011	LR10HNC11AN001	INDUCED DRAFT FAN #10A	LR10HNC10	1.0	S	21	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5738	LR10HNC102		IDF A COOLING FAN MOTOR	LR10HNC10	1.0	S	21	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5739	LR10HNC1021	LR10HNC11AN002	IDF A #1 COOLING FAN MOTOR	LR10HNC102	1.0	P	22	UJRB	essential	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5740	LR10HNC1022	LR10HNC11AN003	IDF A #2 COOLING FAN MOTOR	LR10HNC102	1.0	P	22	UJRB	essential	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5741	LR10HL12		COMBUSTION AIR & FLUE GAS SYSTEM B	LR10HL	0.5	S	8	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5742	LR10HLB20	LR10HFE20AN001	PA FAN B	LR10HL12	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	operasi									UNIT10	2021-08-05 14:17:21	\N
5743	LR10HLA12		DUCTING COLD AIR PAF B	LR10HL12	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5744	LR10HLD20	LR10HLD20AE001	PAH B	LR10HL12	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5745	LR10HLA22		DUCTING HOT AIR PAF B	LR10HL12	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5746	LR10HLA30		FDF B SYSTEM	LR10HL12	1.0	S	20	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5747	LR10HLA3011	LR10HLB20AN001	FORCED DRAFT FAN #10B	LR10HLA30	1.0	S	21	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5748	LR10HLA302		FDF HYDRAULIC MOVING BLADE PUMP	LR10HLA30	1.0	S	21	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5749	LR10HLA3021	LR10HLY20AP001	FDF HYDRAULIC MOVING BLADE PUMP #10B-1	LR10HLA302	1.0	P	22	UJRB	essential	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5750	LR10HLA3022	LR10HLY20AP002	FDF HYDRAULIC MOVING BLADE PUMP #10B-2	LR10HLA302	1.0	P	22	UJRB	essential	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5751	LR10HCB20	LR10HLD20AE002	SAH B SYSTEM	LR10HL12	1.0	S	20	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5752	LR10HCB201		PRIMARY MOTOR AIR HEATER #10B	LR10HCB20	1.0	S	21	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5753	LR10HCB202		SECONDARY MOTOR AIR HEATER #10B	LR10HCB20	1.0	S	21	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5754	LR10HCB203		AIR HEATER B SUPPORT  BEARING LUBE OIL #10	LR10HCB20	1.0	S	21	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5755	LR10HCB204		AIR HEATER B GUIDE  BEARING LUBE OIL #10	LR10HCB20	1.0	S	21	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5756	LR10HNA20		DUCTING HOT AIR FDF B	LR10HL12	1.0	S	20	UJRB		1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5757	LR10HDE20		ESP B SYSTEM	LR10HL12	1.0	S	20	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5758	LR10HDE201	LR10HDE12AT001	ESP B	LR10HDE20	1.0	S	21	UJRB	supporting	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5759	LR10HDE202	LR10ETG14AN002	FLUIDIZING BLOWER ESP B #10	LR10HDE20	1.0	S	21	UJRB	supporting	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5760	LR10HNC20		IDF B SYSTEM	LR10HL12	1.0	S	20	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5761	LR10HNC2011	LR10HNC21AN001	INDUCED DRAFT FAN #10B	LR10HNC20	1.0	S	21	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5762	LR10HNC202		IDF B COOLING FAN MOTOR	LR10HNC20	1.0	S	21	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5763	LR10HNC2021	LR10HNC21AN002	IDF B #1 COOLING FAN MOTOR	LR10HNC202	1.0	P	22	UJRB	essential	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5764	LR10HNC2022	LR10HNC21AN003	IDF B #2 COOLING FAN MOTOR	LR10HNC202	1.0	P	22	UJRB	essential	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5765	LR10HF		COAL PULVERIZER SYSTEM	LR10	1.0	S	6	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5766	LR10HF1		MILL SEAL SYSTEM	LR10HF	1.0	S	7	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5767	LR10HFW10	LR10HFW11AN001	SEAL AIR FAN 10 A	LR10HF1	1.0	P	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5768	LR10HFW20	LR10HFW12AN001	SEAL AIR FAN 10 B	LR10HF1	1.0	P	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5769	LR10HF2		COAL MILL SYSTEM	LR10HF	1.0	S	7	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5770	LR10HF21		FUEL COAL SYSTEM A	LR10HF2	0.3	P	8	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5771	LR10HFA10	LR10HFA10BB001	COAL BUNKER A	LR10HF21	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5772	LR10HFB10	LR10HFB10AF001	COAL FEEDER A	LR10HF21	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5773	LR10HFC10	LR10HFC10AJ001	PULVERIZER A	LR10HF21	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5774	LR10HFC101	LR10HFC10AP001	MILL LUBE OIL PUMP #10A	LR10HF21	1.0		20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5775	LR10HF22		FUEL COAL SYSTEM B	LR10HF2	0.3	P	8	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
5776	LR10HFA20	LR10HFA20BB001	COAL BUNKER B	LR10HF22	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5777	LR10HFB20	LR10HFB20AF001	COAL FEEDER B	LR10HF22	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5778	LR10HFC20	LR10HFC20AJ001	PULVERIZER B	LR10HF22	1.0	S	20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5779	LR10HFC201	LR10HFC20AP001	MILL LUBE OIL PUMP #10B	LR10HF22	1.0		20	UJRB	main	1.00	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-05 14:17:21	\N
5780	LR10HF23		FUEL COAL SYSTEM C	LR10HF2	0.3	P	8	UJRB		1.00																		UNIT10	2021-08-05 14:17:21	\N
