8266	PN00EA1127	BOOM HOISTING	PN00EA112	1.00	S	100.00	10	SPTN	Y		\N	100.00	100.00
9006	NP90MAV394	MSCV NO.4	NP90MAV39	0.25	P	100.00	10	UJPT	Y	9	\N	100.00	100.00
7145	NN10HA2644	BURNER F4	NN10HA264	1.00	P	100.00	10	UJIN	Y	1	\N	100.00	100.00
5394	KT101C02	PA FAN 1B	KT101C	0.50	P	100.00	8	UJKT	Y	1	\N	100.00	100.00
6854	LR20BA9	DISTRIBUTED CONTROL SYSTEM	LR20BA	1.00	S	100.00	7	UJRB	Y	2	\N	100.00	100.00
5524	KT202G04E	TURBINE BEARING No 5	KT202G	1.00	S	100.00	9	UJKT	Y	2	\N	100.00	100.00
7035	NN00ET1122	BLOWER HEATER 2	NN00ET112	1.00	S	100.00	10	UJIN	Y	0	\N	100.00	100.00
7100	NN10HA2144	BURNER A4	NN10HA214	1.00	P	100.00	10	UJIN	Y	1	\N	100.00	100.00
6966	NN00GC2312	CATION A	NN00GC231	1.00	S	90.00	10	UJIN	Y	0	\N	100.00	90.00
7062	NN10HL1112	PAF B	NN10HL111	1.00	P	75.00	10	UJIN	Y	1	\N	100.00	75.00
8432	PN10LA22	BFP  B	PN10LA2	0.50	P	95.00	8	SPTN	Y		\N	100.00	95.00
8480	PN10MA11	GSSR	PN10MA1	1.00	S	95.00	8	SPTN	Y		\N	100.00	95.00
8424	PN10PG3	MAIN CONDENSOR	PN10PG	1.00	S	82.00	7	SPTN	Y		\N	100.00	82.00
7834	LP00EA121	BELT CONVEYOR 0A	LP00EA12	1.00	P	85.00	9	UJPC	Y	0	\N	100.00	85.00
8286	PN00EA161	CONVEYOR E1	PN00EA16	1.00	P	100.00	9	SPTN	Y		\N	100.00	100.00
5839	CA301B01	LABYRINT	CA301B	1.00	S	100.00	8	UCRT	Y	3	\N	100.00	100.00
5856	CA305A01	GCB	CA305A	1.00	S	100.00	8	UCRT	Y	3	\N	100.00	100.00
8044	LP10MA511	AUXILIARY STEAM HEADER	LP10MA51	1.00	P	100.00	9	UJPC	Y	1	\N	100.00	100.00
8700	PN20MA144	AUX OIL PUMP	PN20MA14	1.00	S	100.00	9	SPTN	Y		\N	100.00	100.00
6896	NN00QE141	INSTRUMENT AIR TANK A	NN00QE14	1.00	P	100.00	9	UJIN	Y	0	\N	100.00	100.00
6893	NN00QE132	INSTRUMENT AIR DRYER B	NN00QE13	1.00	P	100.00	9	UJIN	Y	0	\N	100.00	100.00
7038	NN00ET1132	BLOWER HEATER 3	NN00ET113	1.00	S	100.00	10	UJIN	Y	0	\N	100.00	100.00
7155	NN10PA12	BAR SCREEN B	NN10PA1	0.50	P	100.00	8	UJIN	Y	1	\N	100.00	100.00
7918	LP10HA1231	COAL BUNKER C	LP10HA123	1.00	S	100.00	10	UJPC	Y	1	\N	100.00	100.00
8490	PN10MA145	TURNING GEAR OIL PUMP	PN10MA14	1.00	S	100.00	9	SPTN	Y		\N	100.00	100.00
840	TA101E04	ECONOMIZER	TA101E	1.00	S	100.00	4	UJTA	Y	1	\N	100.00	100.00
7989	LP10LC62	LPH #6 BYPASS	LP10LC6	1.00	P	100.00	8	UJPC	Y	1	\N	100.00	100.00
6946	NN00GC16132	MED CTB SYSTEM 1	NN00GC1613	1.00	P	100.00	11	UJIN	Y	0	\N	100.00	100.00
7311	NN10HD271	DRY ASH	NN10HD27	0.50	P	100.00	9	UJIN	Y	1	\N	100.00	100.00
7795	NN30BA2	MEDIUM VOLTAGE TRANSFORMER	NN30BA	1.00	S	100.00	7	UJIN	Y	3	\N	100.00	100.00
