LR10	UNIT #10		LR	1	S	4	UJRB		0.8905726378																		UNIT10	2021-08-04 08:43:50
LR10HL		COMBUSTION AIR & FLUE GAS SYSTEM	LR10	1	S	6	UJRB		0.9374448819																		UNIT10	2021-08-04 08:43:50
LR10HL11		COMBUSTION AIR & FLUE GAS SYSTEM A	LR10HL	0.5	S	8	UJRB		0.8748897638																		UNIT10	2021-08-04 08:43:50
LR10HFE10	LR10HFE10AN001	PA FAN A	LR10HL11	1	S	20	UJRB	main	1	NORMAL	STAGE 1	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-04 08:43:50
LR10HLA11		DUCTING COLD AIR PAF A	LR10HL11	1	S	20	UJRB	main	1	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-04 08:43:50
LR10HLD10	LR10HLD10AE001	PAH A	LR10HL11	1	S	20	UJRB	main	1	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-04 08:43:50
LR10HLA21		DUCTING HOT AIR PAF A	LR10HL11	1	S	20	UJRB	main	1	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI									UNIT10	2021-08-04 08:43:50
LR10HLB10		FDF A SYSTEM	LR10HL11	1	S	20	UJRB		0.8837270341																		UNIT10	2021-08-04 08:43:50
LR10HLB1011	LR10HLB10AN001	FORCED DRAFT FAN #10A	LR10HLB10	1	S	21	UJRB	main	0.8837270341	WARNING	STAGE 2	<6	NORMAL	NORMAL	NORMAL	NORMAL	NORMAL	OPERASI	SR206269	WO137133	3/23/2021 	1. Nilai Vibrasi tertinggi 4.99 mm/s pada sisi FOH, berada diatas alarm limit\n2. Pada bearing fan inboard spectrum dominan 1x rpm dan diikuti harmoniknya dengan level kecil yang mengindikasikan unbalance dan rotating looseness dan terdapat fault frequency bearing (BPFO -Ball Pass Frequency of Outer ring) yang mengindikasikan adanya kerusakan bearing\n3. Pada bearing fan inboard spectrum dominan 1x rpm yang mengindikasikan unbalance dan terdapat fault frequency bearing (BPFO -Ball Pass Frequency of Outer ring  & BSF -Ball Spin Frequency) yang mengindikasikan adanya kerusakan bearing	1. Lakukan penggantian bearing fan inboard dan outboard\n2. Periksa clearance housing dengan outer bearing dan shaft dengan inner bearing. Lakukan perbaikan apabila ditemukan terjadinya over clearance\n3. Balancing                       \n                       \nNotulen Meeting :                       \n1. Setting opening vane di manual dengan range 20%-25%, sambil monitor peningkatan vibrasi. Bila vibrasi telah mencapai diatas 5 lakukan perencanaan perbaikan (MD)\n2. Balancing ulang (next MD, PIC CBM)\n3. Kalibrasi actuator (next MD, PIC I&C)\n4. Ganti bearing fan (next MD, PIC M1 & UPHT)\n5. Ganti bolt joint (perlu pastikan part, PIC M1)	 Setting opening vane di manual dengan range 20%-25%, sambil monitor peningkatan vibrasi. Bila vibrasi telah mencapai diatas 5 lakukan perencanaan perbaikan (MD)	20210326 : Pekerjaan menunggu FD Fan 10A shutdown  		UNIT10	2021-08-04 08:43:50
LR10HLB102		FDF HYDRAULIC MOVING BLADE PUMP	LR10HLB10	1	S	21	UJRB		1																		UNIT10	2021-08-04 08:43:50
