78	2021-01-05 06:16:20+07	1555	12-get-wo-ellipse	UP
79	2021-01-05 06:16:32+07	3840	13-get-wo-jomjawa	JOM-JW
80	2021-01-05 06:16:35+07	529	14-get-wo-kaltim	UJKT
81	2021-01-05 06:16:48+07	578	14-get-wo-tenayan	UJTY
82	2021-01-05 06:16:51+07	489	14-get-wo-pulpis	UJPS
83	2021-01-06 01:01:35+07	1540	12-get-wo-ellipse	UP
84	2021-01-06 01:01:46+07	3817	13-get-wo-jomjawa	JOM-JW
85	2021-01-06 01:01:49+07	527	14-get-wo-kaltim	UJKT
86	2021-01-06 01:01:52+07	579	14-get-wo-tenayan	UJTY
87	2021-01-06 01:01:55+07	488	14-get-wo-pulpis	UJPS
88	2021-01-06 06:15:32+07	1541	12-get-wo-ellipse	UP
89	2021-01-06 06:15:43+07	3858	13-get-wo-jomjawa	JOM-JW
90	2021-01-06 06:15:46+07	531	14-get-wo-kaltim	UJKT
91	2021-01-06 06:15:50+07	580	14-get-wo-tenayan	UJTY
92	2021-01-06 06:15:53+07	490	14-get-wo-pulpis	UJPS
93	2021-01-07 01:01:05+07	1528	12-get-wo-ellipse	UP
94	2021-01-07 01:01:16+07	3847	13-get-wo-jomjawa	JOM-JW
95	2021-01-07 01:01:19+07	532	14-get-wo-kaltim	UJKT
96	2021-01-07 01:01:43+07	495	14-get-wo-pulpis	UJPS
97	2021-01-07 06:15:42+07	1533	12-get-wo-ellipse	UP
98	2021-01-07 06:15:53+07	3881	13-get-wo-jomjawa	JOM-JW
99	2021-01-07 06:15:56+07	531	14-get-wo-kaltim	UJKT
100	2021-01-07 06:16:02+07	582	14-get-wo-tenayan	UJTY
101	2021-01-07 06:16:04+07	497	14-get-wo-pulpis	UJPS
102	2021-01-08 01:00:11+07	1529	12-get-wo-ellipse	UP
103	2021-01-08 01:00:22+07	3882	13-get-wo-jomjawa	JOM-JW
104	2021-01-08 01:00:24+07	531	14-get-wo-kaltim	UJKT
105	2021-01-08 01:00:28+07	581	14-get-wo-tenayan	UJTY
106	2021-01-08 01:00:30+07	488	14-get-wo-pulpis	UJPS
107	2021-01-08 06:15:08+07	1529	12-get-wo-ellipse	UP
108	2021-01-08 06:15:20+07	3915	13-get-wo-jomjawa	JOM-JW
109	2021-01-08 06:15:23+07	529	14-get-wo-kaltim	UJKT
110	2021-01-08 06:15:27+07	584	14-get-wo-tenayan	UJTY
111	2021-01-08 06:15:29+07	494	14-get-wo-pulpis	UJPS
112	2021-01-09 01:01:16+07	1515	12-get-wo-ellipse	UP
113	2021-01-09 01:01:28+07	3895	13-get-wo-jomjawa	JOM-JW
114	2021-01-09 01:01:30+07	534	14-get-wo-kaltim	UJKT
115	2021-01-09 01:01:36+07	581	14-get-wo-tenayan	UJTY
116	2021-01-09 01:01:40+07	498	14-get-wo-pulpis	UJPS
117	2021-01-09 06:15:42+07	1515	12-get-wo-ellipse	UP
