5729	TA00QF113	SERVICE AIR COMPRESSOR SKID C	TA00QF11	0.50	P	9	0	UJTA	Y	
5730	TA00QF131	REFRIGERANT DRYER A	TA00QF13	1.00	P	9	0	UJTA	Y	
5731	TA00QF132	REFRIGERANT DRYER B	TA00QF13	1.00	P	9	0	UJTA	Y	
5732	TA00QF21	SERVICE AIR COMP SYSTEM 2	TA00QF2	1.00	S	8	0	UJTA		
5733	TA00QF22	SERVICE AIR RECEIVER B	TA00QF2	1.00	S	8	0	UJTA	Y	
5734	TA00QF23	AIR DRYER SYSTEM 2	TA00QF2	1.00	S	8	0	UJTA		
5735	TA00QF24	DRYER TO INSTRUMENT AIR RECEIVER 2	TA00QF2	1.00	S	8	0	UJTA	Y	
5736	TA00QF211	SERVICE AIR COMPRESSOR SKID A	TA00QF21	0.50	P	9	0	UJTA	Y	
5737	TA00QF212	SERVICE AIR COMPRESSOR SKID B	TA00QF21	0.50	P	9	0	UJTA	Y	
5738	TA00QF213	SERVICE AIR COMPRESSOR SKID C	TA00QF21	0.50	P	9	0	UJTA	Y	
5739	TA00QF231	REFRIGERANT DRYER A	TA00QF23	1.00	P	9	0	UJTA	Y	
5740	TA00QF232	REFRIGERANT DRYER B	TA00QF23	1.00	P	9	0	UJTA	Y	
8552	TA20BA	ELECTRICAL & CONTROL SYSTEM #2	TA20	1.00	S	6	2	UJTA	N	N
8553	TA20BA4	MEDIUM VOLTAGE SYSTEM #2	TA20BA	1.00	S	7	2	UJTA	N	Y
8554	TA20BA5	LOW VOLTAGE SYSTEM #2	TA20BA	1.00	S	7	2	UJTA	N	Y
8555	TA20BA51	PC UNIT #2	TA20BA5	1.00	S	8	2	UJTA	N	N
8556	TA20BA511	UNIT PC #2A	TA20BA51	1.00	P	9	2	UJTA	N	N
8557	TA20BA512	UNIT PC #2B	TA20BA51	1.00	P	9	2	UJTA	N	N
8558	TA20BA52	EMERGENCY PC #2	TA20BA5	1.00	S	8	2	UJTA	N	N
8559	TA20BA53	ESP PC #2	TA20BA5	1.00	S	8	2	UJTA	N	N
8560	TA20BA531	ESP PC #2A	TA20BA53	1.00	P	9	2	UJTA	N	N
5674	TA10	UNIT #1	TA	1.00	S	4	1	UJTA	N	
5741	TA10BA	ELECTRICAL & CONTROL SYSTEM #1	TA10	1.00	S	6	1	UJTA	N	N
8561	TA20BA532	ESP PC #2B	TA20BA53	1.00	P	9	2	UJTA	N	N
8562	TA20BA54	ILLUMINATION PC #2 SYSTEM	TA20BA5	1.00	S	8	2	UJTA	N	N
5753	TA10BA4	MEDIUM VOLTAGE SYSTEM #1	TA10BA	1.00	S	7	1	UJTA	N	Y
8563	TA20BA541	ILLUMINATION PC #2	TA20BA54	1.00	P	9	2	UJTA	N	N
8564	TA20BA542	ILLUMINATION PC #2	TA20BA54	1.00	P	9	2	UJTA	N	N
8565	TA20BA6	BATTERY SYSTEM #2	TA20BA	1.00	S	7	2	UJTA	N	Y
5754	TA10BA5	LOW VOLTAGE SYSTEM #1	TA10BA	1.00	S	7	1	UJTA	N	Y
5761	TA10BA51	PC UNIT #1	TA10BA5	1.00	S	8	1	UJTA	N	N
5765	TA10BA511	UNIT PC #1A	TA10BA51	1.00	P	9	1	UJTA	N	N
5766	TA10BA512	UNIT PC #1B	TA10BA51	1.00	P	9	1	UJTA	N	N
5762	TA10BA52	EMERGENCY PC #1	TA10BA5	1.00	S	8	1	UJTA	N	N
5763	TA10BA53	ESP PC #1	TA10BA5	1.00	S	8	1	UJTA	N	N
5773	TA10BA531	ESP PC #1A	TA10BA53	1.00	P	9	1	UJTA	N	N
5774	TA10BA532	ESP PC #1B	TA10BA53	1.00	P	9	1	UJTA	N	N
5764	TA10BA54	ILLUMINATION PC #1 SYSTEM	TA10BA5	1.00	S	8	1	UJTA	N	N
5779	TA10BA541	ILLUMINATION PC #1	TA10BA54	1.00	P	9	1	UJTA	N	N
5780	TA10BA542	ILLUMINATION PC #2	TA10BA54	1.00	P	9	1	UJTA	N	N
8566	TA20HA	BOILER FURNACE SYSTEM #2	TA20	1.00	S	6	2	UJTA	N	N
5755	TA10BA6	BATTERY SYSTEM #1	TA10BA	1.00	S	7	1	UJTA	N	Y
5742	TA10HA	BOILER FURNACE SYSTEM #1	TA10	1.00	S	6	1	UJTA	N	N
5787	TA10HA1	COAL PULVERIZER SYSTEM #1	TA10HA	1.00	S	7	1	UJTA	N	
5789	TA10HA11	MILL SEAL SYSTEM #1	TA10HA1	1.00	S	8	1	UJTA	N	N
5790	TA10HA12	COAL MILL SYSTEM #1	TA10HA1	1.00	S	8	1	UJTA	N	N
5794	TA10HA121	FUEL COAL SYSTEM #1A	TA10HA12	0.20	P	9	1	UJTA	N	N
5801	TA10HA1212	COAL FEEDER #1A	TA10HA121	1.00	S	10	1	UJTA	N	Y
8567	TA20HA1	COAL PULVERIZER SYSTEM #2	TA20HA	1.00	S	7	2	UJTA	N	N
8568	TA20HA11	MILL SEAL SYSTEM #2	TA20HA1	1.00	S	8	2	UJTA	N	N
5802	TA10HA1213	PULVERIZER #1A 	TA10HA121	1.00	S	10	1	UJTA	N	Y
5795	TA10HA122	FUEL COAL SYSTEM #1B	TA10HA12	0.20	P	9	1	UJTA	N	N
5810	TA10HA1222	COAL FEEDER #1B	TA10HA122	1.00	S	10	1	UJTA	N	Y
5811	TA10HA1223	PULVERIZER #1B	TA10HA122	1.00	S	10	1	UJTA	N	Y
5796	TA10HA123	FUEL COAL SYSTEM #1C	TA10HA12	0.20	P	9	1	UJTA	N	N
5819	TA10HA1232	COAL FEEDER #1C	TA10HA123	1.00	S	10	1	UJTA	N	Y
5820	TA10HA1233	PULVERIZER #1C	TA10HA123	1.00	S	10	1	UJTA	N	Y
5797	TA10HA124	FUEL COAL SYSTEM #1D	TA10HA12	0.20	P	9	1	UJTA	N	N
5828	TA10HA1242	COAL FEEDER #1D	TA10HA124	1.00	S	10	1	UJTA	N	Y
5829	TA10HA1243	PULVERIZER #1D	TA10HA124	1.00	S	10	1	UJTA	N	Y
